,result,provider,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,time_eol_unix,base_code,rates
CAD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,1.359482
CDF,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,2242.008265
CHF,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,0.905374
CLP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,805.565694
CNY,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,7.083392
COP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,4445.10511
CRC,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,541.101711
CUP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,24.0
CVE,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,102.785148
CZK,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,22.078005
